,SMILES,des_gap,pred_gap,Err_pred_des
0,CCCCC(CS)CSCP(OO)OO,8.2901,7.251383,0.1252960968192436
1,CCCCCCCCC1(C)OCC1=O,8.2901,6.9149055,0.16588394010980537
2,C=CC(C)C(CO)CCCCC(C)COOOCCO,8.2901,7.0180697,0.1534396757445499
3,CCCCCC1CC2CCC(CC)C2C1,8.2901,9.645829,0.16353592848634252
4,CCCCC(=CCC=O)COO,8.2901,5.2397695,0.3679485821919215
5,C=CNCC(C)CN1CC(OC)CO1,8.2901,7.464202,0.09962462127295714
6,CC1CC2(CCCOCC2)C1OC(N)CO,8.2901,8.358959,0.008306196306202118
7,CCCCCC(C)CC1CCC(C)CC1,8.2901,9.101762,0.09790736154354328
8,CC1CCNC(C)CC(CO)CC1,8.2901,7.642852,0.07807483268853115
9,CC=CC(CCCC)OOC(C)OO,8.2901,7.6290717,0.07973707042208227
10,CC1CC1C(C)C(CO)OO,8.2901,8.680742,0.047121538195431245
11,CCCC1CCC2CCC(=O)C1C2,8.2901,6.7409844,0.18686331409152449
12,CCCCCCCCCC#CCCC(C)C,8.2901,8.88997,0.07235978163648546
13,CCCCCCCCC(CC)N(C)CCC,8.2901,8.109808,0.021747871782047533
14,CCCCCNNC(C)C(N)=CPOO,8.2901,6.5507693,0.20980816527291055
15,CCCCC(CC(C)COC)C(C)CCC,8.2901,9.663056,0.1656139701084656
16,CCOOCCCOCCCCCNN(C)CC,8.2901,7.1915007,0.13251943115796871
17,CCC[SH](C(C)CC)C(P)COO,8.2901,6.5365596,0.21152222750550762
18,COCCCCCCCCCC(C)CCCCO,8.2901,8.567987,0.033520396860906486
19,CC1CCCCCCCCCC(C)C1,8.2901,9.930752,0.1979049469291213
20,CCC1CC(C(CC)CO)CO1,8.2901,8.242211,0.005776608019455801
21,CCC1CCC12CCCC2CCCOCO,8.2901,8.78723,0.05996665154387359
22,CCCC1CCCC(OC)OOC1O,8.2901,8.662874,0.04496619121624071
23,C#CN(NCC(C)CCC#N)C(C)(C)C,8.2901,6.80028,0.17971072795904416
24,CCOC12C=C(F)C=C(CC1)O2,8.2901,5.568649,0.32827724452599744
25,CCCCCC(C)CCC(C)OCCCC,8.2901,9.154586,0.10427930161492266
26,COC1CCCCCC2CCC(C2)C1,8.2901,8.535913,0.02965144780005378
27,C=CC(C)(C)NC(C)CC(N)CN,8.2901,7.125584,0.1404706667568789
28,C=C(C)CCC(O)SC(C)CCCC,8.2901,6.69342,0.19260082106137547
29,CCC1CC(C)CCCC(CO)C1,8.2901,8.8921385,0.07262137744299055
30,CCC(CO)OC(C)P=COOOCOO,8.2901,7.785128,0.06091264078748563
31,CCCCCCCCCCCCC(C)CC,8.2901,9.996347,0.2058174723306309
32,CCC(C)CCC#CCC(C)(C)C,8.2901,8.329025,0.00469539191984256
33,CC1(OC2C3CCCC32C)OCC1COO,8.2901,8.185907,0.012568320781220868
34,CCONCCC1CCC(CC#CCN)C1,8.2901,7.094213,0.1442548330079716
35,CCCCC(C)CCCCC(O)C(C)CO,8.2901,8.6802635,0.047063789253098114
36,CCCCC1CCCCCC(CN)CCCC(C)C1=O,8.2901,7.2882414,0.12085000344826075
37,CCN(COC)OCCC1CC1COO,8.2901,8.109519,0.02178272821536813
38,C=CCC(C)CCC(OC)C1CC1C,8.2901,7.6597404,0.0760376294618827
39,CC1(N)C=CC=C2C=C1CC2O,8.2901,4.319181,0.47899531182692806
40,CCC(CC1OCCC1C)OC,8.2901,8.830593,0.065197417296638
41,CCCC(C)C(CNOCO)C(C)N,8.2901,8.216598,0.008866291472012351
42,CCC1COC2CCCCCC1CCC(C)C2,8.2901,8.715937,0.051366890721052924
43,CCCNCCCC(CC)C(C)(C)C,8.2901,7.4994845,0.09536862775696532
44,CC1CC23CCCC(OOC2C)C1CCC3,8.2901,8.352269,0.00749920660407671
45,COCC(C)CCCCCC(C)C,8.2901,9.611542,0.15939997684549936
46,CCC(CC)CC(C)OOC(C)C,8.2901,8.858053,0.06850981380169843
47,CCCC(C)CCC(C)(C)NC,8.2901,7.905275,0.04641984197880919
48,CCCCC(C)C(C)CC(C)CN,8.2901,8.16228,0.015418380634415021
49,CCCC1CCC(C)C(C(C)C)CO1,8.2901,8.624641,0.04035432847095096
50,CCCCC1CCCCC1CCC(C)CC,8.2901,9.582562,0.15590432523060488
51,CC1CCC(C)C(C)C(N)CC1N,8.2901,7.987876,0.03645602122826906
52,CCSC1CCCCCC(C)COC1,8.2901,7.1134753,0.14193130086206582
53,CC1C=NC(CCCCCOCO)C1,8.2901,6.9838605,0.1575661942912271
54,COCC1CC(N(CC(C)C)C(C)C)CO1,8.2901,7.8157387,0.05722021712904368
55,CCCCC1OOOC1(C)CC,8.2901,6.921862,0.16504479736110206
56,CCCSCOC(C)(OC)OC(C)C,8.2901,7.70236,0.07089659314142875
57,C=C(C)CC(CCC)CCC(C)CC(C)CC,8.2901,8.048988,0.029084288213030534
58,CC(O)CCCCCCCC(=O)C#N,8.2901,6.8202887,0.17729717878649362
59,CCCC1ONC(C)(CC)CCCC1C,8.2901,7.9046946,0.04648984243978471
60,CCC(O)OC(C)OCCC(O)NC,8.2901,8.127278,0.019640495537822964
61,CCCC(C)CCCCCCOC(C)CC(C)C,8.2901,9.616669,0.1600184197020391
62,CCCCCCCCC(C)(C)C,8.2901,9.796313,0.18168819264274688
63,CC(C)CCC(CCCCN)CCCCO,8.2901,8.45205,0.019535374608920214
64,CCN(CN)CN(CC)CC(C)(C)O,8.2901,7.2726755,0.1227276493382238
65,C#CCCCC(C)CC(C)C1OCCCCC1C,8.2901,8.953596,0.08003475411783982
66,CC(CN)CC(C)(C)CNC=N,8.2901,6.5830173,0.20591822182565186
67,C=CCOCC(CCC)CCCCC,8.2901,7.5361066,0.09095106374394782
