SMILES,des_gap,pred_gap,Err_pred_des,AE
C=C(C)CC(CCCC)C(CC)CCO,8.5081,7.3708506,0.133666674927503,1.1372494000000009
COCCCOCCCOC1=CCO1,8.7283,6.735646,0.228298091148722,1.9926540000000008
CC(C)=CC1CCCCCCCC1C,7.3771,7.443997,0.0090681848260857,0.06689699999999998
CC1CCCN(C)C(C)CC1,9.6055,7.9822373,0.168993041588696,1.6232626999999988
CCCCCC(C)OCC(=O)CCC,9.444,6.933292,0.265852190588855,2.510708000000001
C=C1CC1C(O)C(O)CCCO,6.8973,7.5977135,0.101548935157088,0.7004134999999998
CCCC(COC)C(CC)NN(CCO)OO,6.4751,8.393,0.296196143541853,1.9179000000000004
CCOC(CO)CCC(C)O,10.4097,8.996402,0.135767429723796,1.413298000000001
CCCOCC1=CC=C(CC)C=CO1,5.983,4.8275633,0.193119958912312,1.1554367
CC1CCCCCC1=C1CC(C)C1C,8.4148,6.6573763,0.208849136121158,1.7574236999999995
CCC=CCC=C(CCC)C(C)=O,6.8302,4.46108,0.346859524712263,2.3691199999999997
CC1[C][N]CC2CCCSC2=CC=C1,2.4999,3.3798397,0.351989943092597,0.8799397
COCC(=O)COCCSC(C)CO,7.2693,6.7903166,0.0658912712742528,0.4789834000000006
CCCCCOOCCCC(C)CCCCOCC(C)C,9.6913,8.985222,0.0728569064219487,0.7060779999999998
CCCCC(CC1NCC1CC)NCC,9.1227,7.7654505,0.148777173687604,1.3572495
CCOCC1CCC(C)=CC(CC(C)CC)CCO1,6.2531,7.3737984,0.179222844726828,1.1206984000000002
C=CCC(C)CCC(CO)CCCCO,6.2531,7.364381,0.17771678631188,1.111281
C=CCNCCCCC1=CC(=O)C(C)CC1,5.4036,4.930735,0.0875092325048908,0.47286499999999965
CCC(CC)C(=CC1CCC(OC)C1)OO,9.9229,6.3294454,0.362137544257116,3.5934546000000003
CCOC(P)N(C)C(CC)OC,6.4674,7.7928133,0.204937579411576,1.3254133000000001
CCCCCNCC1CCCC(C)C1,7.1949,7.6631236,0.0650771529327021,0.46822359999999996
COCCCCCC(O)OCCCOC(C)(C)C,10.4747,8.67724,0.171600105806935,1.797460000000001
CC1=CC=CC(N)=C2C=CC=CC(N)=CC12N,3.3231,3.076171,0.0743068456183433,0.24692900000000018
CCCCCCC1CCC(CO)CCCN1,9.5689,7.6383715,0.201750309064748,1.9305284999999994
CCCCCCCCCC1CC1CCC,8.2192,9.851069,0.198543587013142,1.631869
CCCCCCCCCC(CC)C(C)CC,9.4757,10.013958,0.0568040331896242,0.5382580000000008
COCOC1CC(OC(O)C(C)C)CCO1,9.2781,8.6533575,0.0673351757581466,0.6247425
CCCC=C(CC)CCCCC(N)CC,9.0593,6.378405,0.295927379141134,2.6808950000000005
CC1C(N)NCC1OC(=O)CCO,7.3837,7.356368,0.0037016583988554,0.027332000000000356
CCC1(C)CCCCCC1C(C)C1CCC(C)C1,8.6248,9.121371,0.0575748155581664,0.49657099999999943
COC1C(C)CC(C)OCCC1(C)C,9.1631,8.956978,0.0224948058802937,0.20612200000000058
C=NCC(CO)C(CC)CN,7.534,7.1170926,0.0553367919557317,0.4169073999999995
CCCCCC(C)CCCCC(CC)CCC,10.4078,9.83597,0.0549424542240668,0.5718300000000003
C=C(C)C(C(CC=O)CCCCCCC)C1CCCC1,5.7995,6.587267,0.135833592895434,0.7877669999999997
COC1CCC(C)COCCC(C)N1,8.5755,7.832244,0.0866720401874458,0.7432559999999997
CC1CC(C)(C)OO1,6.3221,8.259653,0.306473021848858,1.9375530000000003
CCC1CCC=CC(C)(C)CC1(C)N,4.8965,6.7774515,0.384142043336619,1.8809515
CCCC(CN)C(CC)CCCON,8.6864,7.7609057,0.106545203692524,0.9254943000000004
CC1CC2CCOCC2CC1OO,9.1631,8.723944,0.0479266066803649,0.43915600000000055
CCC(C)C(CO)C(C)C(C)=CN,8.5509,6.5862184,0.229763141062791,1.9646816000000005
CCCCCCCCC1OC1OC(O)CC,10.4087,9.0861225,0.127064617789216,1.3225774999999995
CCC(C)NOC(O)CCC(C)CC#N,8.6281,7.796784,0.0963498424794818,0.8313160000000002
CCCCCCC(CCC)NCCCC,8.3771,8.051396,0.0388802366052594,0.325704
CCC1CCCCCCCCC(C)C(C)CC1,10.4747,9.732974,0.0708111876780052,0.7417259999999999
CC(C)CCCCCC(C)CC(C)O,9.3621,9.022745,0.0362477294147372,0.3393549999999994
CNC(CN)(CC(C)C)C1=CC=CC=CC1N,8.5257,4.037567,0.526423972380934,4.488133
CCCCOCC(C)C1CC(CCCC)O1,10.5547,9.008453,0.146498397004119,1.546247000000001
CCCCC(C)CCC(CO)CC(C)C,7.8329,8.458208,0.0798309801103608,0.6253080000000004
CCCC1CCC(CCN2CCOC2C)CC1,10.2149,8.549209,0.163064871799798,1.6656910000000007
CCCCC(CCC1CC1C)OCCC,7.9923,9.135775,0.143072033385478,1.1434750000000005
CCCCNC(C)CC1CCCCCCC1C,9.9457,8.117642,0.183803814447558,1.8280580000000004
CC(C)CCCC(O)CCC(C)C,9.7484,8.6699915,0.110624154402251,1.0784085
CCC1CC1CCC=CCCC1CC1,6.2531,6.8379984,0.0935373479070787,0.5848984000000002
CCCC1CNCC(C(C)C)CO1,7.2658,7.450794,0.0254609568073307,0.18499400000000055
C=CCCCCC1CCCOCCCC2(CC1)CCC2C,8.8084,8.075646,0.0831880477213047,0.7327539999999999
CCNc1cccccccc2cccc-2n1,1.4918,3.0057142,1.01482382228538,1.5139141999999999
CCCCCCC1CCCCC(C)CC1,8.2862,9.772455,0.179365114944619,1.4862550000000017
CCC1CCCCCCN2CC(C1)ON2,5.8485,7.902318,0.351170043736592,2.0538180000000006
CCN1CC(OC(C)=O)CC1CN,5.983,6.695509,0.119088911400498,0.7125090000000007
CCCCC(C#SCOC)C=COCCO,9.0528,6.2995377,0.304133786376435,2.7532622999999994
CCC1C(N)C1CNOC1CCCCCN1,5.958,6.9013762,0.15833773873884,0.9433761999999994
CCCCCC(CCC)CC1CC(CO)O1,8.0616,8.247333,0.0230391700080643,0.18573299999999904
CCN=CCC(=CCC=NN)CCO,3.4055,3.8550127,0.131996081414823,0.4495127000000001
CCCCCNOCNOCCC1CCCCC1,9.2616,8.341144,0.0993841660087607,0.9204559999999997
C.C=C1C=C(CC)CCCCC1C,6.8553,5.095363,0.256726453969016,1.7599369999999999
CCCS(C)(OO)OCC(CC)OOC,7.5964,7.417162,0.0235951317033963,0.1792379999999998
CCC(C)(C)C1C=C(C)C1,8.6969,7.438918,0.144647160056055,1.2579819999999993
C=CCNN1C=CC=C(O)NC1CNOC,3.949,4.552526,0.152830082846763,0.6035260000000005
CC=CNSCCS(COCCC)=[SH]P=O,4.5711,4.2897654,0.0615463765896193,0.2813346000000001
CCCOC(CCC(C)C)C(CC)CCCO,9.2286,8.685245,0.058877342149221,0.543355
CCCCCC1OCCC(CNCO)CCCC1C,10.5637,7.551732,0.285124334911683,3.0119680000000004
CCOCC1OC=CC=CC=C(O)ON1CO,5.3711,5.361964,0.0017009130775739,0.009135999999999811
COC1CC(CO)CCCCCCCPO1,8.0616,8.517202,0.0565151306588438,0.45560199999999895
CCCC1CCCCCCCCC1CCOC,8.8204,9.021219,0.0227675903065666,0.20081900000000097
CCCC1CNCCCCCC(C)(CC)O1,9.3562,8.071327,0.137328487048945,1.2848729999999993
Cc1cc2cccsc-2cccsccs1,3.0598,3.4102197,0.114523717021387,0.3504196999999998
CCCCCC(CC)CC(C)CO,10.6982,8.739025,0.183131263580154,1.959175
CCC1CC2CCC1C(C(CC)OC1CC1C)CC2,10.4978,8.856406,0.156355978218958,1.641394
CCCCC(CCCC)CC(O)OCCC,10.2149,8.806196,0.137906762399186,1.4087040000000002
CC1=C=CC=C1OCCSCCCCN,4.6255,4.523438,0.0220650790536897,0.1020620000000001
CCCC1CC(O)CCC1CCCOC,8.9736,8.523657,0.0501407634513714,0.4499429999999993
CC1CNCC(C)C(CN)COCC1O,10.1414,7.8249497,0.228415234448545,2.3164503000000005
CCCCCCCCCCC=CC(C)CCC,7.8502,7.393775,0.0581418325307521,0.4564250000000003
CCCC1NCCCC(CN(C)C)CCC1O,9.1631,6.9485035,0.24168638405532,2.2145965
CC1CC1CPCCCC(C)(C)C,8.8021,8.79723,0.0005533035473689,0.004869999999998598
CCOCC1C=CCC1CC(C)O,7.3837,6.8219347,0.0760818153483745,0.5617653000000002
CCC1(C)CCOCCCC1C(C)C,8.3323,8.798634,0.055966968956885,0.4663339999999998
CCNC(=O)N(C)NONNOO,4.3826,6.077038,0.386628442312622,1.6944379999999999
C=CC(O)COC(C)C(CC)CCCCCO,8.6817,8.04549,0.0732817000250436,0.6362100000000002
C=C(CCC)C(CCCN)CCCC(C)CCCC,7.5303,7.2777705,0.0335351155655696,0.2525295000000005
CCC1NNOC2CC(N)C(C2)C(C)CO1,8.0491,6.9042754,0.142230135378132,1.1448245999999989
CCCCC(C)OCCC(CC=O)C(=O)OCC,8.2192,6.210068,0.244443714003724,2.009132000000001
CC(CCO)CCCCCC(O)COO,10.3278,8.613592,0.165979962060928,1.7142079999999993
CCC1CSC1NC1COC1CC,6.9089,7.2478557,0.0490607279450507,0.33895569999999964
