SMILES,pred_gap
S=c1cccc2cc-2sc2c(ss1)=CC=2,1.5775707487226
O=C1C=CC=C2C=CC=CC=C[SH]2C1=COO,1.93485620151875
C1=CSSS2=C(SC=C2)SSC=CSN1,2.013642308219
S=Cc1ccsc2c(C=S)ccc1-2,2.01418653586987
N=CNCC(=CCN=S)N1C=CN=C(N)C1,2.01799612942596
C1=NC2=c3sccc3=NC23SC3=C1,2.02615954418901
CSNC1=CC=CC2=CC=CN=NSS[SH]21,2.0586486
COC1=CC=CC=CC=c2ccccc2=CS1,2.078260187523
OCC=CC1=CN=CC2=CC2=CC=CN1,2.0831466
C1=NN=CN2N=CN=CN=CC=CC=CC=12,2.08479091933344
O=CC1=C2NC=NN=c3ncnnc3=S12,2.10356677328845
N=C=CC1=S2C=CC=CC=C2SN=CC=C1,2.10519945624107
O=C1C=C2C=CC=C2N=C1C1=CS1,2.1217983995926
C=NCC=C(C)SC1=C(N=O)N=C1,2.12520897664735
O=C1C=S2C=CC3=CC=C3C=C2S1,2.12847434255257
NC1=CC=CN=C2C=NC=CC=CC(=O)N=CC1=C2,2.1325560499341
C1=CN=NN=NN=NCN=NN=C1,2.13485986321348
Cc1c2ccc3c1C2=C=[SH]SSSS3,2.13594831851522
S=C1C2=CC=CSC1=CC=CC=C2,2.14806653798389
NC1=CC=CC2=C(N=S)C=CSC1=C2,2.15118669273958
C=CC1=S2C(=CC2=[SH]C)SC=C1,2.15133190388911
CC1=CC=Cc2ccccccnn2N=N1,2.15336360334306
CC=C1C=CC=CC=NC=C(N)CN=C1,2.16194434308107
S=C1C=CC=CSC=C2C=CC=C2CN1,2.16751352226568
CN=CC1=CC=CC=CC=C=C=CC=CSS1,2.17527792052739
N=C1C=C2SN=C2C2=S1C=CC=C2,2.20194507542002
[C]=CC=C[C]CCC(C)=O,2.20221718924545
CCC1=NC12CNCN=NCN=NC=CC1=CC1=NN=N2,2.2059252
S=C1C=NN=c2sccc2=CS1,2.21282962843742
O=CC1=CC=CC=CC1=CC=S=S,2.22534686440743
O=C1C=CC=C2C=CC=C2C1=S,2.22834011648721
S=Cc1cccc2cccc-2cc1=S,2.23351027917048
